instance_index,explanation,explanation_map
38,"[('dem > 0.41', -0.10644422669057813), ('-0.70 < aspect <= -0.16', -0.06103242521881707), ('nwdi <= -0.77', -0.05926489799464295), ('slope > -0.28', -0.05710520528426183), ('ndvi > 0.69', -0.03059407055856659)]","{1: [(8, -0.10644422669057813), (7, -0.06103242521881707), (1, -0.05926489799464295), (4, -0.05710520528426183), (0, -0.03059407055856659)]}"
39,"[('aspect > 0.94', 0.10783143426943834), ('dem > 0.41', -0.10773994892636105), ('nwdi <= -0.77', -0.06647254506006449), ('slope > -0.28', -0.05092664998748412), ('ndvi > 0.69', -0.02789733570997855)]","{1: [(7, 0.10783143426943834), (8, -0.10773994892636105), (1, -0.06647254506006449), (4, -0.05092664998748412), (0, -0.02789733570997855)]}"
40,"[('tri > 0.90', 0.09505825069404494), ('dem > 0.41', -0.09322953812608975), ('nwdi <= -0.77', -0.062022989954163915), ('slope > -0.28', -0.05370648825053546), ('ndvi > 0.69', -0.026389700578735232)]","{1: [(6, 0.09505825069404494), (8, -0.09322953812608975), (1, -0.062022989954163915), (4, -0.05370648825053546), (0, -0.026389700578735232)]}"
41,"[('dem > 0.41', -0.10158423521686769), ('slope <= -0.28', 0.06481458149183943), ('nwdi <= -0.77', -0.06199075681418558), ('aspect <= -0.70', -0.04493371961791115), ('ndvi > 0.69', -0.023455283729223602)]","{1: [(8, -0.10158423521686769), (4, 0.06481458149183943), (1, -0.06199075681418558), (7, -0.04493371961791115), (0, -0.023455283729223602)]}"
42,"[('dem > 0.41', -0.10327837755246425), ('aspect > 0.94', 0.10221956894475363), ('nwdi <= -0.77', -0.059814173471131916), ('slope > -0.28', -0.04912567256982983), ('tri <= -0.68', -0.04373409914457632)]","{1: [(8, -0.10327837755246425), (7, 0.10221956894475363), (1, -0.059814173471131916), (4, -0.04912567256982983), (6, -0.04373409914457632)]}"
43,"[('dem > 0.41', -0.09772812812842703), ('slope > -0.28', -0.05050867260269245), ('-0.14 < ndvi <= 0.69', 0.027059837486771734), ('-0.77 < nwdi <= 0.08', -0.02232180482687677), ('-0.68 < tri <= 0.05', -0.014745211719005688)]","{1: [(8, -0.09772812812842703), (4, -0.05050867260269245), (0, 0.027059837486771734), (1, -0.02232180482687677), (6, -0.014745211719005688)]}"
44,"[('dem > 0.41', -0.1069131286127465), ('nwdi <= -0.77', -0.06594342244928193), ('-0.70 < aspect <= -0.16', -0.05940520010655808), ('slope <= -0.28', 0.05083614461219352), ('tri <= -0.68', -0.034810231459292414)]","{1: [(8, -0.1069131286127465), (1, -0.06594342244928193), (7, -0.05940520010655808), (4, 0.05083614461219352), (6, -0.034810231459292414)]}"
45,"[('dem > 0.41', -0.10369442150939129), ('nwdi <= -0.77', -0.06312189819404895), ('slope > -0.28', -0.05429204871615761), ('soils > 1.32', 0.02399996278674079), ('ndvi > 0.69', -0.023970888466457663)]","{1: [(8, -0.10369442150939129), (1, -0.06312189819404895), (4, -0.05429204871615761), (5, 0.02399996278674079), (0, -0.023970888466457663)]}"
46,"[('dem > 0.41', -0.10631627499574177), ('tri > 0.90', 0.08549359952564231), ('nwdi <= -0.77', -0.06532268096163933), ('slope > -0.28', -0.05954505663508468), ('ndvi > 0.69', -0.02214568938807204)]","{1: [(8, -0.10631627499574177), (6, 0.08549359952564231), (1, -0.06532268096163933), (4, -0.05954505663508468), (0, -0.02214568938807204)]}"
47,"[('aspect > 0.94', 0.10832106534388213), ('dem > 0.41', -0.0991065620035124), ('tri > 0.90', 0.09250285468483273), ('nwdi <= -0.77', -0.0674034470210494), ('slope > -0.28', -0.05338605670571008)]","{1: [(7, 0.10832106534388213), (8, -0.0991065620035124), (6, 0.09250285468483273), (1, -0.0674034470210494), (4, -0.05338605670571008)]}"
48,"[('dem > 0.41', -0.10240264144443537), ('nwdi <= -0.77', -0.06166682099374724), ('slope > -0.28', -0.05646931333651558), ('-0.70 < aspect <= -0.16', -0.054245457362665714), ('ndvi > 0.69', -0.031593943886609736)]","{1: [(8, -0.10240264144443537), (1, -0.06166682099374724), (4, -0.05646931333651558), (7, -0.054245457362665714), (0, -0.031593943886609736)]}"
49,"[('dem > 0.41', -0.10928825440765813), ('aspect > 0.94', 0.10778141862427862), ('nwdi <= -0.77', -0.06288399028719986), ('slope > -0.28', -0.056718400529496296), ('tri <= -0.68', -0.04005188716301127)]","{1: [(8, -0.10928825440765813), (7, 0.10778141862427862), (1, -0.06288399028719986), (4, -0.056718400529496296), (6, -0.04005188716301127)]}"
50,"[('dem > 0.41', -0.09820939646600359), ('nwdi <= -0.77', -0.061629826553097115), ('slope > -0.28', -0.054550271888283056), ('tri <= -0.68', -0.03043683112893844), ('ndvi > 0.69', -0.019022332275944284)]","{1: [(8, -0.09820939646600359), (1, -0.061629826553097115), (4, -0.054550271888283056), (6, -0.03043683112893844), (0, -0.019022332275944284)]}"
51,"[('dem > 0.41', -0.10434441829907579), ('tri > 0.90', 0.07748835448791064), ('slope <= -0.28', 0.05273636484914163), ('0.08 < nwdi <= 0.72', 0.03893841895811547), ('soils > 1.32', 0.01941079002751951)]","{1: [(8, -0.10434441829907579), (6, 0.07748835448791064), (4, 0.05273636484914163), (1, 0.03893841895811547), (5, 0.01941079002751951)]}"
52,"[('aspect > 0.94', 0.11189090942525383), ('dem > 0.41', -0.10490352421180506), ('nwdi <= -0.77', -0.06376234092267803), ('slope > -0.28', -0.05495629733029239), ('ndvi > 0.69', -0.02649765589640701)]","{1: [(7, 0.11189090942525383), (8, -0.10490352421180506), (1, -0.06376234092267803), (4, -0.05495629733029239), (0, -0.02649765589640701)]}"
53,"[('dem > 0.41', -0.10331883181847631), ('nwdi <= -0.77', -0.062462764547431396), ('slope > -0.28', -0.061444580513049435), ('ndvi > 0.69', -0.024351599136583798), ('0.05 < tri <= 0.90', 0.008490207104124637)]","{1: [(8, -0.10331883181847631), (1, -0.062462764547431396), (4, -0.061444580513049435), (0, -0.024351599136583798), (6, 0.008490207104124637)]}"
54,"[('dem > 0.41', -0.0993118660910585), ('nwdi <= -0.77', -0.06700245231847864), ('slope <= -0.28', 0.05299293856422779), ('aspect <= -0.70', -0.036947132421114144), ('-0.14 < ndvi <= 0.69', 0.03112125200053598)]","{1: [(8, -0.0993118660910585), (1, -0.06700245231847864), (4, 0.05299293856422779), (7, -0.036947132421114144), (0, 0.03112125200053598)]}"
55,"[('aspect > 0.94', 0.10288890419294622), ('dem > 0.41', -0.09844689462132052), ('nwdi <= -0.77', -0.06384963952911123), ('slope > -0.28', -0.06176810907552916), ('tri <= -0.68', -0.03943098743815271)]","{1: [(7, 0.10288890419294622), (8, -0.09844689462132052), (1, -0.06384963952911123), (4, -0.06176810907552916), (6, -0.03943098743815271)]}"
56,"[('dem > 0.41', -0.10198562691814751), ('nwdi <= -0.77', -0.06791213850539475), ('slope > -0.28', -0.060528258572520616), ('-0.75 < soils <= 1.32', 0.02982658500664136), ('ndvi > 0.69', -0.029482539998756146)]","{1: [(8, -0.10198562691814751), (1, -0.06791213850539475), (4, -0.060528258572520616), (5, 0.02982658500664136), (0, -0.029482539998756146)]}"
57,"[('aspect > 0.94', 0.11103662452678703), ('dem > 0.41', -0.10440647866122355), ('tri > 0.90', 0.09024401508518134), ('nwdi <= -0.77', -0.05947620534754385), ('slope > -0.28', -0.058703637364479644)]","{1: [(7, 0.11103662452678703), (8, -0.10440647866122355), (6, 0.09024401508518134), (1, -0.05947620534754385), (4, -0.058703637364479644)]}"
58,"[('dem > 0.41', -0.10418420481337066), ('tri > 0.90', 0.08315320217868259), ('slope <= -0.28', 0.05457102797710652), ('-0.75 < soils <= 1.32', 0.03266379941142357), ('-0.77 < nwdi <= 0.08', -0.01530221169877111)]","{1: [(8, -0.10418420481337066), (6, 0.08315320217868259), (4, 0.05457102797710652), (5, 0.03266379941142357), (1, -0.01530221169877111)]}"
59,"[('dem > 0.41', -0.10210468408291644), ('slope <= -0.28', 0.05784229842137781), ('aspect <= -0.70', -0.04304138232372059), ('-0.77 < nwdi <= 0.08', -0.023285123832032042), ('-0.56 < geology <= 1.00', -0.02098670768304635)]","{1: [(8, -0.10210468408291644), (4, 0.05784229842137781), (7, -0.04304138232372059), (1, -0.023285123832032042), (3, -0.02098670768304635)]}"
60,"[('dem > 0.41', -0.10133984149466753), ('tri > 0.90', 0.08120073235665942), ('nwdi <= -0.77', -0.0697868748790309), ('slope <= -0.28', 0.05458876036968138), ('-0.82 < distancefromriver <= -0.43', 0.05135711234841161)]","{1: [(8, -0.10133984149466753), (6, 0.08120073235665942), (1, -0.0697868748790309), (4, 0.05458876036968138), (2, 0.05135711234841161)]}"
61,"[('dem > 0.41', -0.10091658736588038), ('slope > -0.28', -0.05870544786523204), ('tri <= -0.68', -0.043483198990291044), ('0.08 < nwdi <= 0.72', 0.0384161073243393), ('-0.75 < soils <= 1.32', 0.03418119913909348)]","{1: [(8, -0.10091658736588038), (4, -0.05870544786523204), (6, -0.043483198990291044), (1, 0.0384161073243393), (5, 0.03418119913909348)]}"
62,"[('dem > 0.41', -0.09786786753856176), ('slope <= -0.28', 0.06123791091677755), ('aspect <= -0.70', -0.036574504736532454), ('0.08 < nwdi <= 0.72', 0.03571081654345728), ('-0.75 < soils <= 1.32', 0.03229570984872875)]","{1: [(8, -0.09786786753856176), (4, 0.06123791091677755), (7, -0.036574504736532454), (1, 0.03571081654345728), (5, 0.03229570984872875)]}"
63,"[('dem > 0.41', -0.10481849486637936), ('nwdi <= -0.77', -0.062422249242349466), ('-0.82 < distancefromriver <= -0.43', 0.05711490422220002), ('slope <= -0.28', 0.05539105228115181), ('aspect <= -0.70', -0.04049710467816987)]","{1: [(8, -0.10481849486637936), (1, -0.062422249242349466), (2, 0.05711490422220002), (4, 0.05539105228115181), (7, -0.04049710467816987)]}"
64,"[('dem > 0.41', -0.10094272094820896), ('nwdi <= -0.77', -0.06440078190315171), ('slope > -0.28', -0.0584529621680973), ('tri <= -0.68', -0.040070191953911545), ('ndvi > 0.69', -0.02600520943767919)]","{1: [(8, -0.10094272094820896), (1, -0.06440078190315171), (4, -0.0584529621680973), (6, -0.040070191953911545), (0, -0.02600520943767919)]}"
65,"[('dem > 0.41', -0.10529209174522294), ('slope > -0.28', -0.05441945447701311), ('-0.75 < soils <= 1.32', 0.03079778242736627), ('-0.14 < ndvi <= 0.69', 0.01814887086996511), ('-0.56 < geology <= 1.00', -0.013529181831295447)]","{1: [(8, -0.10529209174522294), (4, -0.05441945447701311), (5, 0.03079778242736627), (0, 0.01814887086996511), (3, -0.013529181831295447)]}"
66,"[('aspect > 0.94', 0.11121156766131658), ('dem > 0.41', -0.10966065302196891), ('slope > -0.28', -0.055692697062185076), ('0.08 < nwdi <= 0.72', 0.04465703774394589), ('tri <= -0.68', -0.041878863820172106)]","{1: [(7, 0.11121156766131658), (8, -0.10966065302196891), (4, -0.055692697062185076), (1, 0.04465703774394589), (6, -0.041878863820172106)]}"
