flood,ndvi,nwdi,distancefromriver,geology,slope,soils,tri,aspect,dem
1,0.270534,-0.22457,1,3,3,6,17,1,5
1,0.056941,-0.07831,3,3,2,3,5,15,3
1,0.109429,-0.07936,2,3,2,6,14,29,5
1,0.106449,-0.09238,5,6,3,2,17,15,5
1,0.07238,-0.02857,2,1,1,2,32,5,3
1,0.176247,-0.17882,2,10,4,2,16,11,5
1,0.014514,-0.00994,1,3,2,7,19,30,4
1,0.056941,-0.07831,3,3,2,3,5,15,3
1,0.291621,-0.27433,1,3,2,6,23,13,4
1,0.019525,-0.02229,4,3,1,3,,1,3
1,0.164924,-0.15669,1,3,2,7,10,23,6
1,0.227745,-0.21749,2,3,2,2,28,15,10
1,0.109429,-0.07936,2,3,2,6,14,29,5
1,0.043784,0.003448,4,8,1,1,,1,1
1,0.164924,-0.15669,1,3,2,7,10,23,6
1,0.302386,-0.25221,1,3,2,5,19,29,3
1,0.051966,-0.03465,1,3,1,1,,1,3
1,0.079454,-0.08245,1,3,2,3,23,9,4
1,0.095667,-0.0963,1,8,1,1,,1,3
1,0.185365,-0.12279,1,6,2,6,5,31,4
1,0.192586,-0.17373,1,6,1,3,,1,3
1,0.200238,-0.16436,1,6,2,1,19,1,3
1,0.028921,-0.02415,1,3,1,3,1,21,3
1,0.036486,-0.0361,1,3,7,7,14,15,5
1,0.370067,-0.32816,1,3,2,7,19,14,5
1,0.292368,-0.23688,1,3,2,2,14,9,5
1,0.177603,-0.10898,1,3,1,5,,1,3
1,0.217849,-0.20133,1,3,1,5,28,13,3
1,0.236008,-0.1809,1,3,3,5,5,29,3
1,0.345429,-0.29182,1,3,1,3,,1,3
1,0.308852,-0.2582,1,3,1,5,32,29,3
1,0.279982,-0.23858,1,3,1,3,,1,3
1,0.145285,-0.11165,1,3,2,3,23,21,3
1,0.15322,-0.15032,1,3,2,7,19,6,4
1,0.199806,-0.21089,1,3,1,3,,1,4
1,0.164783,-0.13985,1,5,1,2,,1,7
1,0.019933,-0.02979,1,3,2,3,23,1,4
1,0.05586,-0.03857,1,3,2,2,19,14,6
1,0.164459,-0.13809,1,5,2,2,10,31,8
1,0.164085,-0.12794,1,5,2,6,28,26,7
1,0.382484,-0.3283,1,3,1,2,,1,7
1,0.32063,-0.26598,1,3,1,6,1,5,7
1,0.27991,-0.24714,1,3,1,2,1,13,7
